iter	Passed	Remaining
0	3	298
1	6	303
2	9	296
3	12	292
4	14	279
5	17	274
6	20	278
7	23	273
8	27	279
9	30	273
10	32	266
11	35	259
12	38	255
13	41	255
14	43	249
15	46	241
16	49	239
17	51	234
18	54	231
19	57	231
20	60	227
21	63	224
22	65	220
23	69	219
24	72	218
25	75	214
26	78	212
27	81	209
28	84	206
29	87	203
30	90	200
31	94	200
32	98	200
33	102	198
34	107	200
35	110	196
36	113	193
37	116	190
38	118	185
39	120	180
40	121	174
41	122	168
42	124	164
43	125	160
44	128	157
45	129	152
46	131	148
47	133	144
48	134	140
49	136	136
50	138	133
51	140	129
52	142	126
53	145	123
54	146	119
55	149	117
56	151	114
57	153	111
58	156	108
59	159	106
60	161	103
61	164	100
62	167	98
63	174	98
64	178	96
65	180	93
66	183	90
67	186	87
68	189	85
69	191	82
70	193	79
71	195	76
72	198	73
73	200	70
74	203	67
75	206	65
76	208	62
77	210	59
78	213	56
79	216	54
80	220	51
81	223	49
82	226	46
83	229	43
84	232	40
85	235	38
86	238	35
87	240	32
88	243	30
89	245	27
90	249	24
91	251	21
92	255	19
93	258	16
94	262	13
95	265	11
96	267	8
97	273	5
98	279	2
99	284	0
